,CustomerDetail,Comment,CommentClass,ProductID
78,h** p** Ö**|24 Eylül 2021|LAV satıcısından alındı.,"Kırılmadan geldi çok güzel paketlenmiş. Daha önce aldığım bardaklardan 2 tane kırık çıkmıştı paketlenmesi sebepli, iadeyle uğraşmamıştım.",['iyipaketleme'],28
79,**** ****|23 Eylül 2021|LAV satıcısından alındı.,Bu fiyata çook güzel annem bayıldı küçük boyutu kahve yanı için kullanıcaz boyutları da çok güzel paketleme çok özenliydi teşekkürler,['iyipaketleme'],28
80,M** K**|23 Eylül 2021|LAV satıcısından alındı.,kırık geleceğine dair tereddütlerim vardı fakat sağlam geldi. çeyizim için aldım paketlemesi güzeldi mutluyum 😊 teşekkürler LAV ♡,"['iyipaketleme','sağlamgeldi']",28
81,D** B**|23 Eylül 2021|LAV satıcısından alındı.,"O kadar güzel paketlenmişti ki tüm bardaklarım ve Lav’dan verdiğim diğer tüm siparişlerim sağlam geldi. Ayrıca bardak takımı çok hoş, çeyizim için aldım herkes mutfağında bulundurmalı","['iyipaketleme','sağlamgeldi']",28
82,**** ****|22 Eylül 2021|LAV satıcısından alındı.,teslimat süreci gecikmedi paketleme mükemmel kendi kolisi dışın başka koliye de konulmuştu çok güzel boyutları ağırlığı aynı görselden gibi hem satıcıya hem trento la teşekkür,['iyipaketleme'],28
83,**** ****|22 Eylül 2021|LAV satıcısından alındı.,harikasınızzz çok güzel paketlenmişti ve dün sipariş ettim 24 saat olmadan geldi teşekkürlerrr 🧡🧡🧡 kırık yok ve çok kullanışlı,['iyipaketleme'],28
84,**** ****|22 Eylül 2021|LAV satıcısından alındı.,lav ürünlerini seviyorum ben günlük kullanım için gayet güzel bi takım tavsiye ederim. satıcıya da teşekkür ederim Çok özenli paketlenmiş kargolanmış..,"['iyipaketleme','günlükkullanım']",28
85,s** s**|17 Eylül 2021|NAR50 satıcısından alındı.,paketlemesi güzeldi kırık yoktu ancak büyük su bardaginda ciddi derecede özür vardı bardak sanki buz gibi kırılmış da tekrar yapıştırılmış gibiydi gündelik kullanacağım için iade ile uğraşmak istemedim yine de idare eder,['iyipaketleme'],28
86,A** G**|17 Eylül 2021|LAV satıcısından alındı.,Orta boy bardağın bir tanesi defolu geldi ama iade etmekle uğraşmak istemiyorum çok belli olmuyor paketleme güzel kırılmadan geldi,['iyipaketleme'],28
87,**** ****|16 Eylül 2021|Markam Burada satıcısından alındı.,Ürün gayet güzel ama maalesef bardagimin birisi kırık çıktı.Bunun sebebi olarakta paketleme konusunda kolaya kacilmis olması neden derseniz cam esyayi olduğu gibi kutusuyla gondermek gibi bir ciddiyetsizlik yapilmis.daha özenli bir paketleme yapılabilirdi kenarlarina destek koymak gibi cam sonuçta.Bu paketlemeye bir fire vermek ....bunada şükür,"['iyipaketleme','ürüngüzel']",28
88,E** D**|16 Eylül 2021|LAV satıcısından alındı.,Çok güzel paketlenmişti. Acaba kırık gelir mi diye tereddütle bekledim ama çok sağlam paketlenmişti ürünlerim sapa sağlam geldi. Çok beğendim.,"['iyipaketleme','sağlamgeldi']",28
89,Özlem Toy|14 Eylül 2021|LAV satıcısından alındı.,Paketleme harika ürün sorun ve çok hızlı ulaştı hemen yeni bir sipariş verdim 18 parça bardak kırık olmadan geldi,"['iyipaketleme','hızlıteslimat']",28
90,**** ****|14 Eylül 2021|LAV satıcısından alındı.,Ürünün paketlenmesi çok iyi hepsi sağlam bir şekilde elime ulaştı kargoda hızlıydı sade severlere tavsiye ederim,['iyipaketleme'],28
91,**** ****|10 Eylül 2021|Markam Burada satıcısından alındı.,siparişim elime ulaştı bayıldııım o kadar şık duruyo ki alacaklara tavsiye ederim ayrıca paketleme çok iyiydi hiç zarar görmeden getirdiler çok teşekkür ederim,"['iyipaketleme','şıkduruyor']",28
92,K** A**|10 Eylül 2021|LAV satıcısından alındı.,"Çeyizim için 2 paket aldım. Paketleme güzeldi, ancak 1 bardağın içinde hava kabarcığı kalmış. 36 parça içinde tek bi bardak hatalı çıktığından geri yollamadım. En küçük bardağı bile klasik su bardağından (200 ml) büyük. Evlenen bi arkadaşım da almıştı gayet güzel kullandığını söyledi. Benim satın aldığım satıcı yorumumun altında yazıyor 😊",['iyipaketleme'],28
93,Münevver Ayyıldız|9 Eylül 2021|LAV satıcısından alındı.,Öncelikle güzel paketleme için teşekkür ediyorum .Çeyizim için aldım gayet güzel uygun kırık çizik yok.LAV yine yanıltmadı 👌🤩,['iyipaketleme'],28
94,**** ****|9 Eylül 2021|LAV satıcısından alındı.,ürünüm geldi ben çok beğendim hiç kırık yok indirim fırsatı da aldım kargoda güzel paketlenmiş hızlı teslimat mükemmel teşekkürler Trendyol teşekkürler kargo çalışanları,"['iyipaketleme','hızlıteslimat']",28
95,Sümeyye Bedir|6 Eylül 2021|Markam Burada satıcısından alındı.,Cok memnun kaldım bardaklarda hiç kırık yoktu ve guzel paketlenmişti. Almak isteyen hiç dusunmeden alsın derim.,"['iyipaketleme','ürüngüzel']",28
96,M** A**|6 Eylül 2021|LAV satıcısından alındı.,fiyatına göre mükemmel bardaklar beğendim üç gün kargo süresi sürdü kırık gelir diye tahmin ediyordum ama paketlemesi iyi yapılmıştı hiç bir sorun yaşamadım teşekkür ederim,"['iyipaketleme','fiyatperformans','hızlıteslimat']",28
97,A** K**|4 Eylül 2021|Markam Burada satıcısından alındı.,kargo hem hızlıydı hem de dikkatli ve güzel paketlenmisti bir tane kırık yok çok güzel. tek eksik altında lav yazmiyo pek de sorun değil bence,"['iyipaketleme','hızlıteslimat']",28
98,**** ****-Elite Üye|3 Eylül 2021|LAV satıcısından alındı.,ürünlerim çok güzel geldi güzel paketlenmişti sapasağlam geldi en küçük bardak kahve yanına biraz büyük kalıyor .,"['iyipaketleme','sağlamgeldi']",28
99,**** ****|20 Şubat 2021|LAV satıcısından alındı.,Şık kullanisli ve ozenle paketlenmisti şiddetle tavsiye ederim,['iyipaketleme'],28
100,Ebru Kınık|25 Aralık 2019|LAV satıcısından alındı.,Çok güzel paketlenmiş. Hepsi sapasağlam elime ulaştı.,['iyipaketleme'],28
101,**** ****|26 Ağustos 2019|LAV satıcısından alındı.,ürünleri çok beğendim kaliteli ve güzel bir ürün özenle paketlenmis,"['iyipaketleme','ürüngüzel','kaliteliürün']",28
102,S** V**|14 Kasım 2021|LAV satıcısından alındı.,ürün paketlemesi çok iyiydi beklediğimden daha iyiydi çok beğendim teşekkür ederim 🙏,['iyipaketleme'],28
103,G** K**|13 Kasım 2021|LAV satıcısından alındı.,Paketlemesi çok iyi bardaklarda çok güzel,['iyipaketleme'],28
104,y** ö**|15 Kasım 2021|LAV satıcısından alındı.,anneme aldım. paketleme harikaydı.,['iyipaketleme'],28
105,a** h**|13 Kasım 2021|LAV satıcısından alındı.,Bardaklar harika. Ne kırık var ne çizik. çok güzel paketlenmiş.,['iyipaketleme'],28
106,T** D**|12 Kasım 2021|LAV satıcısından alındı.,Kırılmadan cok güzel paketlenmiş şekilde geldi ellerinize cok beğendim,['iyipaketleme'],28
