Comment_en,CommentClass_en,Unnamed: 0
"The product is very nice, the best device that can be purchased at this price and I would definitely recommend it so comfortable.",['Product'],53
A more beautiful phone came out than he guessed. I did not have any other problems of cargo. I recommend it to everyone.,['Product'],54
The product is very beautiful as the nation has praised quickly we have reached our hands zero Türkiye guaranteed device also a transparent protection case in the box comes out you do not need to get a sheath and put a screen saver.,['Product'],55
"I think it will definitely recommend that a very nice phone value at this price is more than a great charging of the camera, even if you play very comfortably for 2 days, it goes charging",['Product'],56
"It is definitely a very nice phone.Goruntu quality, photo shoot is great.",['Product'],57
"I got a really great product without any problems without any problems, the camera speed, etc. everything is very nice thanks",['Product'],58
"I have been using the product perfect for 2 weeks and it hasn't been a problem, it goes for 1.5 days, although I use it continuously.","['Product', 'Priceperformance']",59
The product is very nice and quality.,"['Product', 'good -up', 'your quality']",60
I took the phone to my wife. The product is beautiful. The only flaw is that the rear cameras have a lot of output. But the cozunurluk flow battery life is very good and the wire is quite stable.,['Product'],61
"A complete price performance product. We bought it for my wife. He has been using it for 1 week and very satisfied. The optical lens feature and sound performance is very good, I think those who think with peace of mind, came to the domestic cargo in a firmly packaged manner in general we were very pleased.","['Product', 'Priceperformance']",62
"A very nice phone I recommend to everyone, very fast shipping was given at these prices",['Product'],63
"Today I got it today, the product is very nice and useful, I am the Note 3 user, I could not see the Xiaomi people and the message application, I use Google's applications. I think the Xiaomis seem to be more useful. But in general it is a nice phone, I recommend it.",['Product'],64
"The product is really nice, I was very pleased. It has great performance A according to the price, whether it is a charge. The sound quality is also very good. The product has reached my hand in 3 days.","['Product', 'Priceperformance', 'Speedeslimat']",65
The device was very successful compared to the price.,"['Product', 'Priceperformance']",66
Xiaomi Redmi Note 7 user with Note 8 in terms of price performance in terms of a telephone produced.,"['Product', 'Priceperformance', 'Speedeslimat']",67
I would like to thank the trendyol family much better than I expect this product at this price very well.,['Product'],68
The best phone I've ever seen in my life,['Product'],69
"It came very fast, the product is so beautiful","['Product', 'Speedeslimat']",70
very nice phone is useful,['Product'],71
"I like the product. I bought it for my brother for the first time he was shooting a little bit because he was shopping, but he liked the product very much and then ordered it in another brother.",['Product'],72
"First of all, the trendyola endless thanks can get it without thinking. When it comes to the phone, the camera has been a great 1 day, but I am very satisfied","['Product', 'Speedeslimat']",73
"The product is very nice for those who see Redmi Note 7 according to the price, I am telling you like the same device, they added only 2 cameras.","['Product', 'Priceperformance']",74
The perfect blue color is really beautiful in terms of price performance. A phone that will see a lot of work that can be bought at this price.,"['Product', 'Priceperformance']",75
The product is very nice,['Product'],76
You can get it without thinking,['Product'],77
The product needs a good time,['Product'],78
Xiaomi is very nice phone,['Product'],79
The product is beautiful. Fast delivery was made.,"['Product', 'Speedeslimat']",80
nice phone.,['Product'],81
"I like the product very well, I recommend it",['Product'],82
"I bought it to my mother, it is more than enough, nice phone",['Product'],83
"Really reliable I was very pleased, my phone is very nice 👍",['Product'],84
"A nice phone with useful, thanks for the affordable price Trendyol","['Product', 'convenience']",85
"I was very pleased, I would definitely recommend reliable company excellent service",['Product'],86
Very nice phone is taken without thinking undisputed,['Product'],87
"a very nice phone, we did not have any problems, thanks",['Product'],88
The product is excellent.,['Product'],89
nice product fast shipping I recommend nice,"['Product', 'Speedeslimat']",90
"A very nice phone, it reached me smoothly",['Product'],91
The price performance product was a very nice product we bought while we were on a discount.,"['Product', 'Priceperformance']",92
It works well.,['Product'],93
The product is fine but it does not write imei number on the bill,['Product'],94
"The best price was here, it's fine phone","['Product', 'convenience']",95
I was very satisfied with a really affordable phone according to your features,"['Product', 'convenience']",96
A very nice product is better than I expected,['Product'],97
"We got it for my son, I got a very nice product, I recommend it for my son",['Product'],98
I bought a nice phone to my mother useful 👍🏻,['Product'],99
"The product is beautiful alone, now it's very expensive, don't buy it.",['Product'],100
"The price has increased, a very nice phone fake camera is not too good, unfortunately, unfortunately",['Product'],101
"It's a very nice phone, it's a good thing I don't choose this model",['Product'],102
"The product is very nice fast and performance, it can be taken",['Product'],103
"We bought it to my mother, really nice phone shipping was also fine",['Product'],104
"We were very pleased as a very nice product price, thank you",['Product'],105
A nice product was best sold here,['Product'],106
The beautiful phone meets your expectations,['Product'],107
"A very nice product according to the price is something like a china virus, nothing more :-)","['Product', 'Priceperformance']",108
Very good. The product is very nice.,['Product'],109
I was very pleased with my product expectation. And the cargo process is very fast,['Product'],110
A more beautiful phone than I expected. I was no happier for a sheath gift 👍,['Product'],111
"At this price, this phone is really great, but after I get it, it deserves a little risen, but it deserves ..",['Product'],112
Thanks for fast delivery and a very nice phone ...,"['Product', 'Speedeslimat']",113
Fast delivery reliable shopping nice phone thanks trendyol 😊,"['Product', 'Speedeslimat']",114
It has a very good performance compared to a very nice phone price,"['Product', 'Priceperformance']",115
"The product was very nicely liked to my wife, thanks ...",['Product'],116
I liked the product very much and I ordered 1 more thanks.,['Product'],117
"I would recommend it to anyone who wants to buy it, it was as it seems, a very nice phone",['Product'],118
"It was a little upset that the headphones had no headphones, but it is a very nice product. Very stylish.",['Product'],119
Very nice product for a very good phone price,"['Product', 'Priceperformance']",120
A nice product. Price performance balance is very good,"['Product', 'Priceperformance']",121
"I use a good product for the price, I was very satisfied","['Product', 'Priceperformance']",122
"According to the price, it is really nice to work ...","['Product', 'Priceperformance']",123
"Beautiful phone, nice price, successful seller","['Product', 'convenience']",124
"Very nice phone, I definitely recommend it",['Product'],125
Very nice phone according to the price I recommend it to everyone,"['Product', 'Priceperformance']",126
"Great I think I was very pleased, thanks",['Product'],127
"I like it very much, it is a very nice phone for the price","['Product', 'Priceperformance']",128
"Beautiful product, I buy it in the second. F/P product.","['Product', 'Priceperformance']",129
"very nice phone, I think the opportunity and price will not be missed",['Product'],130
The color of a beautiful product is a bit of a phosphorus,['Product'],131
Absolutely a very nice phone camera is great,['Product'],132
I really liked it very nice shipping product,['Product'],133
"Great phone, we were satisfied, I recommend it ..",['Product'],134
This is a very nice phone in the price range. I was satisfied.,['Product'],135
It is at the level that will challenge many phones in the market with features above the price price ...,['Product'],136
It is a very nice phone for the price.,"['Product', 'Priceperformance', 'Speedeslimat']",137
"Everything is on its way, no good phone 👍🏻",['Product'],138
"I use a very nice product with pleasure, for 1 month there has been a problem so far.",['Product'],139
"A little weight is more than that, a nice phone at this price",['Product'],140
"I was late, but the nice product could get more affordable, I bought it to my son",['Product'],141
The product is very nice and convenient.,['Product'],142
"A perfect phone was very satisfied, I recommend it to everyone",['Product'],143
I bought a very good product packaging beautiful in 3 days.,['Product'],144
I bought it to my mother and I was very pleased.,['Product'],145
The product is very nice. In the iPhone setting. The price is very affordable. Multi -function. I recommend to those who want to buy.,"['Product', 'convenience']",146
A very nice phone is technologically above the standards,['Product'],147
"nice phone is coming fast, the charge is not over",['Product'],148
"The product is very, very nice and very satisfied, I recommend it to everyone.",['Product'],149
"We were very pleased, thank you trendyol thanks atacel",['Product'],150
"I got it from a discount, nice phone charging good",['Product'],151
The product is really beautiful. No need for expensive phones.,['Product'],152
"Product Legendary Agır FLN, not 1 day, comfortable fp product","['Product', 'Priceperformance', 'good -up']",153
"Well, the nice phone is not better than that at this price, there is no relative.",['Product'],154
"If you are thinking of buying a nice new phone, the phone you are looking for is in terms of this fp",['Product'],155
Thank you for a nice product and fast shipment,"['Product', 'Speedeslimat']",156
"very nice product is not in the headset, I recommend you to take it",['Product'],157
a very nice phone thanks trendyol,['Product'],158
I strongly recommend that you buy a beautiful phone beyond perfect.,['Product'],159
"A very nice phone is quite smooth and quickly surrendered, I love it, I would not regret it","['Product', 'Speedeslimat']",160
The product has a very nice stylish design.,['Product'],161
Camera and charging long withdrawal is excellent,['Product'],162
I recommend affordable and very nice phone 👏,"['Product', 'convenience']",163
"I would recommend it to friends who want to get very pleased, thanks trendyol.",['Product'],164
very nice phone price is very suitable I liked it very much,"['Product', 'convenience']",165
I was very satisfied with the price of a very good product,"['Product', 'Priceperformance']",166
I was very pleased.,['Product'],167
Nice phone but a little heavy ... no other problem,['Product'],168
"According to the price, I would definitely recommend a really successful product without thinking.","['Product', 'Priceperformance']",169
"The product works very well very well, I was satisfied",['Product'],170
"Thank you for fast cargo, according to this price very nice phone","['Product', 'Priceperformance', 'Speedeslimat']",171
Very nice phone for the price. I like it a lot,"['Product', 'Priceperformance']",172
I recommend a successful product. Fast delivery.,"['Product', 'Speedeslimat']",173
I recommend a very good product for this price,"['Product', 'Priceperformance']",174
"The product is really good for the best money, I was very pleased with the best phones, I recommend it.",['Product'],175
I recommend both fast shipping and beautiful phone to everyone,"['Product', 'Speedeslimat']",176
Price is a nice phone in terms of performance.,"['Product', 'Priceperformance']",177
"The beautiful phone, the blanket is very much. Thank you",['Product'],178
I can recommend the product nice with peace of mind,['Product'],179
"the price is also the beautiful product I am very satisfied, I recommend it",['Product'],180
"The phone is very nice delivery fast and I recommend it without any problems, I was satisfied","['Product', 'Speedeslimat']",181
A complete price performance product. The charge goes for a long time. I was very pleased.,"['Product', 'Priceperformance']",182
The phone is very nice for your money. Thank you for fast delivery,"['Product', 'Speedeslimat']",183
Product Beautiful and Cargo Fast Thank You,"['Product', 'Speedeslimat']",184
You don't need to think to get the product really great,['Product'],185
I recommend a nice product according to the price.,"['Product', 'Priceperformance', 'Speedeslimat']",186
"I bought the product very well and solid, thank you 👏🏻👏🏻",['Product'],187
"The product is fine, but it was a little morale to enter a discount 2 weeks after receiving.",['Product'],188
The most beautiful phone to be purchased in terms of price,['Product'],189
"The product is both beautiful and very suitable, it does not need to give a lot of wasted much money",['Product'],190
The product is very nice and quality I liked it,"['Product', 'your quality']",191
"As a really great phone interface, I haven't got used to it, but it's a product that shouldn't be missed.",['Product'],192
"very good product, especially the sound level is very legendary",['Product'],193
"I liked a complete price performance product very much, I have been using it for about a month. Charging camera is excellent.","['Product', 'Priceperformance']",194
I think the price is a very good product in terms of performance.,"['Product', 'Priceperformance']",195
"A very good product for the price. I have been using it for a week, price and performance is great","['Product', 'Priceperformance']",196
"The product is very nice, I am very pleased, I recommend the charging perfectly violently",['Product'],197
I recommend the product well in good performance,['Product'],198
The product is beautiful price quality index. I wish it had come a little earlier.,"['Product', 'convenience']",199
A very nice phone sound and video quality is great for the price,"['Product', 'Priceperformance']",200
Thanks for fast delivery. The product is good good,"['Product', 'Speedeslimat']",201
I was satisfied with a very good phone for the price 😊,"['Product', 'Priceperformance']",202
I was very satisfied with the affordable price really quality bi phone.,"['Product', 'convenience', 'your quality']",203
"We were very satisfied for the price, I really recommend it very well.","['Product', 'Priceperformance']",204
I recommend a really nice phone,['Product'],205
I recommend it to those who want to buy it really well.,['Product'],206
Fast and beautiful phone. I also liked the very good features of the camera. I recommend.,['Product'],207
Nice phone has a little shortcomings but the case is great,['Product'],208
The product has reached my hand very fast and I was very satisfied with a nice designed device,"['Product', 'Speedeslimat']",209
"The beautiful phone, especially the camera is better than I expected.",['Product'],210
"a nice phone was 10 days, I use it, no trouble",['Product'],211
"I passed from Apple I had hesitations, but really nice phone can be taken with peace of mind",['Product'],212
Product nice shipping successful thank you.,['Product'],213
"It arrived in a short time, a very nice phone for the price","['Product', 'Priceperformance']",214
A nice quality product design with affordable price is very nice,"['Product', 'convenience', 'your quality']",215
"I like it very well, but I wish you put it in the headset there",['Product'],216
I bought it as a gift to my father. He liked it very much. Beautiful phone with posture and features.,['Product'],217
I recommend a better product than I expected,['Product'],218
"It came fast, I would recommend a good product for your money.","['Product', 'Speedeslimat']",219
"Very nice, thanks for the cargo. We were satisfied.",['Product'],220
"The product is very nice, I recommend the sound and video system enough for me",['Product'],221
"I recommend the beautiful product, the camera is number ten",['Product'],222
The price of the product is both affordable and very nice phone 📱 It just took a little longer to arrive,"['Product', 'convenience']",223
"The product is very nice, it meets my wishes for 2 days.",['Product'],224
"The product has reached my hand in a smooth and firm way, I was satisfied, thanks",['Product'],225
A nice phone like I expected.,['Product'],226
The product is very nice ... The only problem is that it is not headphones ...,['Product'],227
It's been a few days. Price is fine in terms of performance. A successful product,"['Product', 'Priceperformance']",228
"nice product company Menmun I stayed, the price was good",['Product'],229
"It is a very nice product for the price I bought it for my son, I can get one myself.","['Product', 'Priceperformance']",230
"The product looks beautiful very well, it is fast perfect at this price",['Product'],231
I got it from legendary days discount very nice phone 👍,['Product'],232
A very nice phone is heavy as gr but it is not felt,['Product'],233
The product is perfectly recommended cargo fast and reliable. There is no better at this price,"['Product', 'Speedeslimat']",234
"The product is very nice, especially the charge is going perfectly, it is very good compared to many phones.",['Product'],235
Nice phone is recommended for the price,"['Product', 'Priceperformance']",236
It is a very nice product for the price. I was very pleased.,"['Product', 'Priceperformance']",237
We are satisfied with a very good phone.,['Product'],238
A very nice phone has a quality above its price.,['Product'],239
The product is fine and I recommend quality quality,"['Product', 'your quality']",240
"I got the price without falling, I was sorry but nice phone",['Product'],241
"Very nice product. Despite the legendary Friday density, fast delivery 👍. Thanks Trendyol Family 🤗","['Product', 'Speedeslimat']",242
"If a very nice phone reaches solid, of course",['Product'],243
I was very pleased as a very nice Iphone user.,['Product'],244
The best phone that can be bought at this price. I was very satisfied,['Product'],245
It is a very nice phone. There is no need to give the world's money to others with the same feature.,['Product'],246
"We bought it for my father, the camera was quite successful, it was delivered on time.","['Product', 'Speedeslimat']",247
I recommend it to those who want to buy the product very well,['Product'],248
"Very nice phone really, especially according to the price. I love the photo quality.","['Product', 'Priceperformance']",249
"A nice phone, very good compared to the price, the performance is nice","['Product', 'Priceperformance']",250
We got a very nice phone to my father and very satisfied. It was very healthy in the shipment,['Product'],251
"I love it, a very nice phone, I recommend it to everyone, it deserves its money until the end",['Product'],252
A really great device for the price. A complete price-performance product. Thanks trendyol ...,"['Product', 'Priceperformance']",253
Thursday evening I ordered on Saturday I had the product very nice color extremely well I recommend it strongly,['Product'],254
The product is fine. But if you are going to get a note 8 pro suddenly. Better sees your job five to ten years,['Product'],255
I was satisfied with a phone for the first time after iPhone,['Product'],256
Shipping beautiful KVK guaranteed .. I was satisfied. timely delivery,"['Product', 'Speedeslimat']",257
"very nice product, very righteous",['Product'],258
Quite high quality and beautiful product quick and color I recommend it absolutely great,"['Product', 'your quality']",259
"It was very nice phone, but there was no headphones, I was very surprised. Fast shipping 👏","['Product', 'Speedeslimat']",260
"I recommend the camera very well, especially nice phone",['Product'],261
Good product good package minus no headphones and a little heavy,['Product'],262
I bought the second of this product. I was quite satisfied. It is a very good product for the price.,['Product'],263
A very nice product color is also magnificent tskler trendyol,['Product'],264
The product is really great above expectations. Cargo is very fast.,"['Product', 'Speedeslimat']",265
"The product is both high quality and seller, I was very pleased, thank you very much","['Product', 'your quality']",266
very nice phone nice price I definitely recommend,"['Product', 'convenience']",267
really good phone I highly recommend,['Product'],268
A good product that meets my expectations. I am very satisfied.,['Product'],269
"This price is a very successful product, you need to tamper with a little, there is very special.",['Product'],270
xioami quality very nice product fast shipping thanks,"['Product', 'Speedeslimat', 'your quality']",271
"The product was really nice processor, but a nice phone for the price.",['Product'],272
very good product,['Product'],273
a very nice phone,['Product'],274
Note 8 nice phone ...,['Product'],275
Product nice thanks,['Product'],276
"I was satisfied, fine",['Product'],277
A very nice phone,['Product'],278
The beautiful phone is suitable from the market fiat.,['Product'],279
Beautiful product useful,['Product'],280
"We were very pleased, thanks :)",['Product'],281
👍 Nice Product Congratulations,['Product'],282
Beautiful phone camera vs shooting power,['Product'],283
Fast Shipping Beautiful Phone,"['Product', 'Speedeslimat']",284
"Fast shipping, beautiful product.","['Product', 'Speedeslimat']",285
The nice phone is very good at this price,"['Product', 'Priceperformance']",286
Delivery is fast. We were very pleased.,"['Product', 'Speedeslimat']",287
I was satisfied,['Product'],288
A nice product,['Product'],289
It's a nice product but like it slows down,['Product'],290
I was very satisfied,['Product'],291
"Fast shipment, nice phone","['Product', 'Speedeslimat']",292
beautiful product,['Product'],293
I recommend a nice phone,['Product'],294
We were satisfied ...,['Product'],295
I am very satisfied,['Product'],296
Excellent Product Excellent Interest,['Product'],297
I recommend a very nice product ..,['Product'],298
phone that can be purchased at an affordable price,['Product'],299
a very nice useful and beautiful product,['Product'],300
Beautiful phone,['Product'],301
I was satisfied,['Product'],302
A very good product for the price,"['Product', 'Priceperformance']",303
Very good for beautiful product price,"['Product', 'Priceperformance']",304
Effort is a nice phone,['Product'],305
A very nice product,['Product'],306
successful product,['Product'],307
The product is beautifully useful and affordable,['Product'],308
nice phone just a little big,['Product'],309
"I bought it at an affordable price, I was satisfied","['Product', 'convenience']",310
A very high quality successful product,['Product'],311
"I bought it to my wife, it is a very nice product",['Product'],312
Beautiful product for the price,"['Product', 'Priceperformance']",313
Beautiful product I used and sold it for 8 months without any problem,['Product'],314
The product is beautiful,['Product'],315
A very nice phone for the price,"['Product', 'Priceperformance']",316
A very nice product,['Product'],317
a very nice phone,['Product'],318
The product is very nice delivery time is very good,"['Product', 'Speedeslimat']",319
a very nice product we love,['Product'],320
Successful product,['Product'],321
very nice product for this price 😂,['Product'],322
A nice product,['Product'],323
The most beautiful phone to be purchased at this price,['Product'],324
Beautiful product,['Product'],325
"The product is very nice, I recommend it",['Product'],326
A nice product,['Product'],327
a nice phone,['Product'],328
A very nice phone,['Product'],329
"I was very pleased, this device is great",['Product'],330
Very nice product I recommend it to everyone,['Product'],331
I was satisfied,['Product'],332
"The product is very nice, I was very pleased.",['Product'],333
Nice product fast shipping thanks,"['Product', 'Speedeslimat']",334
Beautiful product,['Product'],335
I was very satisfied,['Product'],336
"I was very pleased, thank you",['Product'],337
The product is very nice,['Product'],338
A very nice phone is successful,['Product'],339
The nice phone is just a little heavy,['Product'],340
I recommend a nice phone,['Product'],341
Very good product,['Product'],342
The product is very nice.,['Product'],343
A very nice phone I liked it very much,['Product'],344
We were very good very satisfied,['Product'],345
It's a very nice phone,['Product'],346
Thank you beautiful product,['Product'],347
I recommend it very nice product,['Product'],348
The product is a very nice and stylish product,['Product'],349
very nice product is very clean,['Product'],350
I recommend a nice product,['Product'],351
Product is very nice fast shipping,"['Product', 'Speedeslimat']",352
a very nice phone,['Product'],353
Thanks nice product,['Product'],354
very nice phone,['Product'],355
beautiful product,['Product'],356
It came as I expected. I was satisfied,['Product'],357
Fast shipping beautiful product.,"['Product', 'Speedeslimat']",358
A very nice product for the price,"['Product', 'Priceperformance']",359
Beautiful phone really,['Product'],360
A nice phone,['Product'],361
I was very satisfied,['Product'],362
Fast shipping. beautiful product,"['Product', 'Speedeslimat']",363
The product is very nice thank you,['Product'],364
A successful product,['Product'],365
You can get it without thinking 😀,['Product'],366
The product is very beautiful,['Product'],367
a very nice phone,['Product'],368
A very nice phone,['Product'],369
The price is very affordable and beautiful phone,"['Product', 'convenience']",370
I like the product and it came very fast,"['Product', 'Speedeslimat']",371
The product is very beautiful,['Product'],372
The product is beautiful,['Product'],373
Really nice product.,['Product'],374
I can say that I was satisfied in general,['Product'],375
a very good phone,['Product'],376
I recommend a nice product,['Product'],377
"Beautiful phone, recommended",['Product'],378
"I was very satisfied, I recommend it",['Product'],379
The product is very good as I expect,['Product'],380
very good product,['Product'],381
a very nice phone,['Product'],382
The product is beautiful and quality,"['Product', 'your quality']",383
We were very satisfied,['Product'],384
The phone is really good,['Product'],385
We were very satisfied,['Product'],386
very nice phone,['Product'],387
The product came very well,['Product'],388
Fast Delivery Beautiful Product,"['Product', 'Speedeslimat']",389
great I was very pleased,['Product'],390
I was very pleased,['Product'],391
A beautiful quality product,"['Product', 'your quality']",392
beautiful product,['Product'],393
beautiful phone,['Product'],394
very nice I was very pleased ♥ ️,['Product'],395
Beautiful phone,['Product'],396
The product is very nice,['Product'],397
I stayed very.,['Product'],398
Beautiful phone,['Product'],399
Product beautiful cargo fast,"['Product', 'Speedeslimat']",400
Product Beautifully Buy FP Product,['Product'],401
Beautiful phone,['Product'],402
Price and quality is a nice phone,"['Product', 'your quality']",403
The beautiful product reached my hand without any problems,['Product'],404
The product is very nice,['Product'],405
A very nice phone,['Product'],406
Beautiful phone delivery fast,"['Product', 'Speedeslimat']",407
I was nicely satisfied,['Product'],408
"I was satisfied, thank you.",['Product'],409
beautiful product,['Product'],410
very nice product thanks trendyol,['Product'],411
a very nice phone,['Product'],412
Beautiful phone,['Product'],413
I recommend a nice product,['Product'],414
a very good product,['Product'],415
A successful product,['Product'],416
I recommend a very nice phone,['Product'],417
Beautiful phone,['Product'],418
Beautiful product for the price,"['Product', 'Priceperformance']",419
A nice product,['Product'],420
Really good,['Product'],421
Very nice product for the price,"['Product', 'Priceperformance']",422
Beautiful product,['Product'],423
very nice product 💯,['Product'],424
I was very satisfied with speed and quality,['Product'],425
Fast Delivery Beautiful Product 👏,"['Product', 'Speedeslimat']",426
We were very pleased.,['Product'],427
"The product is very nice, this device is great at this price",['Product'],428
Very fast shipping and beautiful product,"['Product', 'Speedeslimat']",429
The product is very high quality and satisfied,"['Product', 'your quality']",430
Very good product,['Product'],431
Good Product Fast Delivery,"['Product', 'Speedeslimat']",432
The product is very nice thanks,['Product'],433
beautiful product tank youuu,['Product'],434
a very nice product,['Product'],435
You can get it with trust.,['Product'],436
a very nice product,['Product'],437
a very nice product,['Product'],438
I was very satisfied,['Product'],439
"I was satisfied, I recommend it 😊",['Product'],440
Price performance I think it is a very good product,"['Product', 'Priceperformance']",441
"beautiful product, my wife was very like",['Product'],442
"The product is very nice, I recommend it",['Product'],443
A very good product,['Product'],444
good quality phone,"['Product', 'your quality']",445
Beautiful product,['Product'],446
Beautiful product👌,['Product'],447
A beautiful product,['Product'],448
"The product is very nice, I am very satisfied.",['Product'],449
Nice phone at this price,['Product'],450
nice phone without fuck,['Product'],451
beautiful product,['Product'],452
I recommend a very nice phone,['Product'],453
Beautiful product,['Product'],454
Beautiful product quick delivery 👍,"['Product', 'Speedeslimat']",455
very nice phone I recommend,['Product'],456
Very nice phone with useful,['Product'],457
"It was very fast, we were satisfied",['Product'],458
thanks very nice product,['Product'],459
Beautiful product without any problems,['Product'],460
Very nice phone I recommend,['Product'],461
I was satisfied,['Product'],462
a very nice phone,['Product'],463
"I was very satisfied, super product",['Product'],464
I love the product very beautiful color,['Product'],465
"very, very good product",['Product'],466
